Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Pothole
2025-09-19T10:30:00.456Z,Gyroscope,0.123,0.456,-0.789,30.760910,76.770420,0
2025-09-19T10:30:05.489Z,Accelerometer,1.234,-0.567,0.891,30.760915,76.770425,1
2025-09-19T10:30:10.522Z,Gyroscope,0.567,1.234,-0.345,30.760920,76.770430,0
2025-09-19T10:30:15.555Z,Accelerometer,2.145,0.678,-1.567,30.760925,76.770435,2
2025-09-19T10:30:20.588Z,Gyroscope,0.789,-1.234,0.456,30.760930,76.770440,0
2025-09-19T10:30:25.621Z,Accelerometer,1.567,0.345,-0.789,30.760935,76.770445,1
2025-09-19T10:30:30.654Z,Gyroscope,0.345,0.789,-0.123,30.760940,76.770450,0
2025-09-19T10:30:35.687Z,Accelerometer,1.891,-0.456,1.234,30.760945,76.770455,1
2025-09-19T10:30:40.720Z,Gyroscope,0.678,1.567,-0.891,30.760950,76.770460,0
2025-09-19T10:30:45.753Z,Accelerometer,1.234,0.123,-0.567,30.760955,76.770465,0
