Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Pothole
2025-09-20T11:45:00.789Z,Accelerometer,0.891,0.234,-1.567,30.733456,76.779123,1
2025-09-20T11:45:05.822Z,Gyroscope,1.456,-0.789,0.345,30.733461,76.779128,0
2025-09-20T11:45:10.855Z,Accelerometer,0.234,1.891,-0.678,30.733466,76.779133,2
2025-09-20T11:45:15.888Z,Gyroscope,2.567,0.456,-1.234,30.733471,76.779138,1
2025-09-20T11:45:20.921Z,Accelerometer,0.678,-1.567,0.891,30.733476,76.779143,0
2025-09-20T11:45:25.954Z,Gyroscope,1.234,0.789,-0.456,30.733481,76.779148,1
2025-09-20T11:45:30.987Z,Accelerometer,0.456,0.123,-1.891,30.733486,76.779153,0
2025-09-20T11:45:36.020Z,Gyroscope,1.789,-0.345,0.567,30.733491,76.779158,0
2025-09-20T11:45:41.053Z,Accelerometer,0.567,1.456,-0.234,30.733496,76.779163,1
2025-09-20T11:45:46.086Z,Gyroscope,1.345,0.678,-1.123,30.733501,76.779168,0
