Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Pothole
2025-09-21T13:20:00.321Z,Gyroscope,1.567,0.891,-0.234,30.715234,76.751789,0
2025-09-21T13:20:05.354Z,Accelerometer,0.234,-1.456,0.789,30.715239,76.751794,1
2025-09-21T13:20:10.387Z,Gyroscope,2.891,1.234,-1.567,30.715244,76.751799,2
2025-09-21T13:20:15.420Z,Accelerometer,0.456,0.678,-0.891,30.715249,76.751804,0
2025-09-21T13:20:20.453Z,Gyroscope,1.234,-0.567,1.456,30.715254,76.751809,1
2025-09-21T13:20:25.486Z,Accelerometer,0.789,1.891,-0.345,30.715259,76.751814,0
2025-09-21T13:20:30.519Z,Gyroscope,1.678,0.234,-1.234,30.715264,76.751819,1
2025-09-21T13:20:35.552Z,Accelerometer,0.345,-0.789,0.567,30.715269,76.751824,0
2025-09-21T13:20:40.585Z,Gyroscope,2.234,1.567,-0.891,30.715274,76.751829,2
2025-09-21T13:20:45.618Z,Accelerometer,0.567,0.456,-1.345,30.715279,76.751834,0
