Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Pothole
2025-09-27T17:40:00.416Z,Gyroscope,1.345,0.678,-0.891,30.726789,76.747123,0
2025-09-27T17:40:05.449Z,Accelerometer,0.567,-1.234,0.456,30.726794,76.747128,1
2025-09-27T17:40:10.482Z,Gyroscope,2.891,1.567,-1.678,30.726799,76.747133,2
2025-09-27T17:40:15.515Z,Accelerometer,0.234,0.891,-0.567,30.726804,76.747138,0
2025-09-27T17:40:20.548Z,Gyroscope,1.678,-0.456,1.234,30.726809,76.747143,1
2025-09-27T17:40:25.581Z,Accelerometer,0.891,1.345,-0.789,30.726814,76.747148,0
2025-09-27T17:40:30.614Z,Gyroscope,1.234,0.567,-1.456,30.726819,76.747153,1
2025-09-27T17:40:35.647Z,Accelerometer,0.456,-0.678,0.891,30.726824,76.747158,0
2025-09-27T17:40:40.680Z,Gyroscope,1.789,1.234,-0.345,30.726829,76.747163,0
2025-09-27T17:40:45.713Z,Accelerometer,0.678,0.345,-1.567,30.726834,76.747168,1
