Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Pothole
14:54:15.260,Gyroscope,0.393482,-0.132892,0.188685,30.631583,76.725196,0
14:54:15.265,Gyroscope,0.728773,0.315052,0.100002,30.631583,76.725196,0
14:54:15.286,Gyroscope,0.660463,0.324506,0.009987,30.631583,76.725196,0
14:54:15.307,Gyroscope,0.305198,0.374706,-0.081626,30.631583,76.725196,0
14:54:15.326,Gyroscope,-0.054861,0.360858,-0.165515,30.631583,76.725196,0
14:54:15.346,Gyroscope,-0.280031,0.176301,-0.187886,30.631583,76.725196,0
14:54:15.372,Gyroscope,-0.278034,-0.073636,-0.103863,30.631583,76.725196,0
14:54:15.387,Gyroscope,-0.029162,-0.247407,0.036885,30.631583,76.725196,0
14:54:15.408,Gyroscope,0.235423,-0.299472,0.132892,30.631583,76.725196,0
14:54:15.428,Gyroscope,0.353401,-0.110921,0.113184,30.631583,76.725196,0
14:54:15.448,Gyroscope,0.332629,0.104795,0.076300,30.631583,76.725196,0
14:54:15.472,Gyroscope,0.190283,0.189484,0.030759,30.631583,76.725196,0
14:54:15.488,Gyroscope,-0.033023,0.190150,-0.040081,30.631583,76.725196,0
14:54:15.510,Gyroscope,-0.257394,0.161920,-0.128497,30.631583,76.725196,0
14:54:15.529,Gyroscope,-0.419314,-0.009854,-0.164850,30.631583,76.725196,0
14:54:15.549,Gyroscope,-0.383628,-0.157925,-0.101733,30.631583,76.725196,0
14:54:15.571,Gyroscope,-0.054328,-0.223439,0.038749,30.631583,76.725196,0
14:54:15.589,Gyroscope,0.376704,-0.176567,0.159656,30.631583,76.725196,0
14:54:15.609,Gyroscope,0.578305,0.016378,0.177766,30.631583,76.725196,0
14:54:15.630,Gyroscope,0.509995,0.160855,0.127299,30.631583,76.725196,0
14:54:15.652,Gyroscope,0.270311,0.168178,0.044342,30.631583,76.725196,0
14:54:15.671,Gyroscope,-0.034887,0.155795,-0.048869,30.631583,76.725196,0
14:54:15.690,Gyroscope,-0.305464,0.130362,-0.125568,30.631583,76.725196,0
14:54:15.711,Gyroscope,-0.441419,0.019175,-0.148072,30.631583,76.725196,0
14:54:15.732,Gyroscope,-0.383495,-0.141680,-0.098137,30.631583,76.725196,0
14:54:15.752,Gyroscope,-0.110921,-0.285757,0.022637,30.631583,76.725196,0
14:54:15.773,Gyroscope,0.228765,-0.289752,0.130894,30.631583,76.725196,0
14:54:15.791,Gyroscope,0.432497,-0.063383,0.146873,30.631583,76.725196,0
14:54:15.811,Gyroscope,0.419714,0.162453,0.098137,30.631583,76.725196,0
14:54:15.831,Gyroscope,0.254731,0.254864,0.016378,30.631583,76.725196,0
14:54:15.852,Gyroscope,-0.012251,0.256595,-0.064582,30.631583,76.725196,0
14:54:15.874,Gyroscope,-0.298141,0.165382,-0.136487,30.631583,76.725196,0
14:54:15.893,Gyroscope,-0.463257,-0.014514,-0.152466,30.631583,76.725196,0
14:54:15.914,Gyroscope,-0.409461,-0.200935,-0.086553,30.631583,76.725196,0
14:54:15.937,Gyroscope,-0.126500,-0.324373,0.028629,30.631583,76.725196,0
14:54:15.956,Gyroscope,0.244212,-0.240883,0.141147,30.631583,76.725196,0
14:54:15.974,Gyroscope,0.464455,0.012517,0.138617,30.631583,76.725196,0
14:54:15.994,Gyroscope,0.422244,0.214651,0.083490,30.631583,76.725196,0
14:54:16.015,Gyroscope,0.209191,0.231029,-0.008389,30.631583,76.725196,0
14:54:16.037,Gyroscope,-0.082824,0.200403,-0.080028,30.631583,76.725196,0
14:54:16.054,Gyroscope,-0.321976,0.127299,-0.139949,30.631583,76.725196,0
14:54:16.076,Gyroscope,-0.447943,-0.060321,-0.138085,30.631583,76.725196,0
14:54:16.095,Gyroscope,-0.403868,-0.272441,-0.069109,30.631583,76.725196,0
14:54:16.116,Gyroscope,-0.131960,-0.338887,0.076300,30.631583,76.725196,0
14:54:16.136,Gyroscope,0.251136,-0.202001,0.134223,30.631583,76.725196,0
14:54:16.156,Gyroscope,0.415320,0.002530,0.118111,30.631583,76.725196,0
14:54:16.176,Gyroscope,0.315718,0.162453,0.070041,30.631583,76.725196,0
14:54:16.196,Gyroscope,0.092811,0.207327,0.001997,30.631583,76.725196,0
14:54:16.219,Gyroscope,-0.178432,0.155528,-0.063516,30.631583,76.725196,0
14:54:16.238,Gyroscope,-0.425706,0.019574,-0.113850,30.631583,76.725196,0
14:54:16.257,Gyroscope,-0.489755,-0.096007,-0.128631,30.631583,76.725196,0
14:54:16.278,Gyroscope,-0.283094,-0.217047,-0.057924,30.631583,76.725196,0
14:54:16.303,Gyroscope,0.084688,-0.267914,0.070307,30.631583,76.725196,0
14:54:16.318,Gyroscope,0.394680,-0.101999,0.139550,30.631583,76.725196,0
14:54:16.337,Gyroscope,0.475241,0.092278,0.119443,30.631583,76.725196,0
14:54:16.358,Gyroscope,0.341284,0.213719,0.051665,30.631583,76.725196,0
14:54:16.378,Gyroscope,0.138484,0.265251,-0.010786,30.631583,76.725196,0
14:54:16.405,Gyroscope,-0.074036,0.351404,-0.095874,30.631583,76.725196,0
14:54:16.418,Gyroscope,-0.218113,0.433695,-0.216781,30.631583,76.725196,0
14:54:16.438,Gyroscope,-0.525042,-0.158591,-0.151134,30.631583,76.725196,0
14:54:16.459,Gyroscope,-0.448476,-0.398275,-0.001465,30.631583,76.725196,0
