Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Pothole
2025-09-26T12:15:00.983Z,Accelerometer,0.789,0.567,-1.234,30.735678,76.756234,1
2025-09-26T12:15:05.016Z,Gyroscope,1.234,-0.891,0.456,30.735683,76.756239,0
2025-09-26T12:15:10.049Z,Accelerometer,0.456,1.678,-0.789,30.735688,76.756244,2
2025-09-26T12:15:15.082Z,Gyroscope,2.567,0.234,-1.567,30.735693,76.756249,1
2025-09-26T12:15:20.115Z,Accelerometer,0.891,-1.456,0.678,30.735698,76.756254,0
2025-09-26T12:15:25.148Z,Gyroscope,1.678,0.789,-0.345,30.735703,76.756259,1
2025-09-26T12:15:30.181Z,Accelerometer,0.345,0.456,-1.891,30.735708,76.756264,0
2025-09-26T12:15:35.214Z,Gyroscope,1.456,1.234,-0.567,30.735713,76.756269,0
2025-09-26T12:15:40.247Z,Accelerometer,0.678,0.891,-1.345,30.735718,76.756274,1
2025-09-26T12:15:45.280Z,Gyroscope,1.891,-0.678,0.234,30.735723,76.756279,0
