Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Pothole
2025-09-18T09:15:00.123Z,Accelerometer,0.245,-0.678,1.234,30.704120,76.717636,0
2025-09-18T09:15:05.156Z,Accelerometer,0.891,0.456,-0.789,30.704120,76.717636,0
2025-09-18T09:15:10.189Z,Gyroscope,1.567,-1.234,0.345,30.704125,76.717641,1
2025-09-18T09:15:15.222Z,Accelerometer,0.123,0.987,-0.456,30.704130,76.717646,0
2025-09-18T09:15:20.255Z,Gyroscope,2.345,1.678,-1.123,30.704135,76.717651,1
2025-09-18T09:15:25.288Z,Accelerometer,0.678,-0.234,0.567,30.704140,76.717656,0
2025-09-18T09:15:30.321Z,Gyroscope,1.234,0.789,-0.345,30.704145,76.717661,0
2025-09-18T09:15:35.354Z,Accelerometer,0.456,1.123,-0.678,30.704150,76.717666,1
2025-09-18T09:15:40.387Z,Gyroscope,1.789,-0.567,0.234,30.704155,76.717671,0
2025-09-18T09:15:45.420Z,Accelerometer,0.567,0.345,-1.234,30.704160,76.717676,0
