Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Pothole
2025-09-23T15:35:00.987Z,Gyroscope,0.891,0.456,-1.234,30.756789,76.785456,1
2025-09-23T15:35:05.020Z,Accelerometer,1.567,-0.789,0.345,30.756794,76.785461,0
2025-09-23T15:35:10.053Z,Gyroscope,0.234,1.678,-0.567,30.756799,76.785466,2
2025-09-23T15:35:15.086Z,Accelerometer,2.345,0.891,-1.456,30.756804,76.785471,1
2025-09-23T15:35:20.119Z,Gyroscope,0.678,-1.345,0.789,30.756809,76.785476,0
2025-09-23T15:35:25.152Z,Accelerometer,1.234,0.567,-0.891,30.756814,76.785481,1
2025-09-23T15:35:30.185Z,Gyroscope,0.456,1.234,-0.345,30.756819,76.785486,0
2025-09-23T15:35:35.218Z,Accelerometer,1.789,-0.456,1.567,30.756824,76.785491,0
2025-09-23T15:35:40.251Z,Gyroscope,0.567,0.678,-1.234,30.756829,76.785496,1
2025-09-23T15:35:45.284Z,Accelerometer,1.345,1.891,-0.678,30.756834,76.785501,0
