Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Pothole
2025-09-22T14:10:00.654Z,Accelerometer,0.678,1.234,-0.567,30.741890,76.768234,0
2025-09-22T14:10:05.687Z,Gyroscope,1.891,-0.345,0.789,30.741895,76.768239,1
2025-09-22T14:10:10.720Z,Accelerometer,0.234,0.567,-1.456,30.741900,76.768244,0
2025-09-22T14:10:15.753Z,Gyroscope,2.567,1.678,-0.234,30.741905,76.768249,2
2025-09-22T14:10:20.786Z,Accelerometer,0.456,-1.234,0.891,30.741910,76.768254,0
2025-09-22T14:10:25.819Z,Gyroscope,1.345,0.789,-1.567,30.741915,76.768259,1
2025-09-22T14:10:30.852Z,Accelerometer,0.789,1.456,-0.345,30.741920,76.768264,0
2025-09-22T14:10:35.885Z,Gyroscope,1.234,-0.678,0.567,30.741925,76.768269,1
2025-09-22T14:10:40.918Z,Accelerometer,0.567,0.234,-1.891,30.741930,76.768274,0
2025-09-22T14:10:45.951Z,Gyroscope,1.678,1.345,-0.456,30.741935,76.768279,0
