Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Pothole
2025-09-25T08:25:00.650Z,Gyroscope,0.456,1.789,-0.678,30.748123,76.763890,0
2025-09-25T08:25:05.683Z,Accelerometer,1.678,-0.234,0.567,30.748128,76.763895,1
2025-09-25T08:25:10.716Z,Gyroscope,0.891,0.456,-1.345,30.748133,76.763900,0
2025-09-25T08:25:15.749Z,Accelerometer,2.234,1.567,-0.789,30.748138,76.763905,2
2025-09-25T08:25:20.782Z,Gyroscope,0.567,-1.678,0.234,30.748143,76.763910,0
2025-09-25T08:25:25.815Z,Accelerometer,1.345,0.891,-1.456,30.748148,76.763915,1
2025-09-25T08:25:30.848Z,Gyroscope,0.789,1.234,-0.567,30.748153,76.763920,0
2025-09-25T08:25:35.881Z,Accelerometer,1.456,-0.345,1.678,30.748158,76.763925,1
2025-09-25T08:25:40.914Z,Gyroscope,0.234,0.789,-0.891,30.748163,76.763930,0
2025-09-25T08:25:45.947Z,Accelerometer,1.567,1.456,-1.234,30.748168,76.763935,0
